source,alpha,target,coverage,avg_size
tfidf,0.02,0.98,1.0,5.87
tfidf,0.04,0.96,0.97,5.54
tfidf,0.06,0.94,0.95,5.42
tfidf,0.08,0.92,0.95,5.25
tfidf,0.1,0.9,0.91,4.86
tfidf,0.12,0.88,0.87,4.72
tfidf,0.14,0.86,0.86,4.68
tfidf,0.16,0.84,0.84,4.58
tfidf,0.18,0.82,0.83,4.49
tfidf,0.2,0.8,0.83,4.42
tfidf,0.22,0.78,0.83,4.35
tfidf,0.24,0.76,0.83,4.33
tfidf,0.26,0.74,0.78,4.21
tfidf,0.28,0.72,0.78,4.19
tfidf,0.3,0.7,0.77,4.1
tfidf,0.32,0.68,0.72,3.64
tfidf,0.34,0.66,0.69,3.56
tfidf,0.36,0.64,0.69,3.51
tfidf,0.38,0.62,0.68,3.49
tfidf,0.4,0.6,0.66,3.36
tfidf,0.42,0.58,0.63,3.22
tfidf,0.44,0.56,0.59,3.06
tfidf,0.46,0.54,0.53,2.86
tfidf,0.48,0.52,0.53,2.8
tfidf,0.5,0.5,0.53,2.79
tfidf,0.52,0.48,0.51,2.69
tfidf,0.54,0.46,0.44,2.45
tfidf,0.56,0.44,0.41,2.33
tfidf,0.58,0.42,0.37,2.19
tfidf,0.6,0.4,0.37,2.11
tfidf,0.62,0.38,0.33,1.83
tfidf,0.64,0.36,0.32,1.73
tfidf,0.66,0.34,0.29,1.65
tfidf,0.68,0.32,0.23,1.51
tfidf,0.7,0.3,0.23,1.42
tfidf,0.72,0.28,0.23,1.39
tfidf,0.74,0.26,0.21,1.28
tfidf,0.76,0.24,0.2,1.26
tfidf,0.78,0.22,0.12,0.85
tfidf,0.8,0.2,0.11,0.81
tfidf,0.82,0.18,0.1,0.76
tfidf,0.84,0.16,0.07,0.68
tfidf,0.86,0.14,0.07,0.66
tfidf,0.88,0.12,0.07,0.6
tfidf,0.9,0.1,0.06,0.5
tfidf,0.92,0.08,0.06,0.41
tfidf,0.94,0.06,0.06,0.37
tfidf,0.96,0.04,0.05,0.35
llm,0.02,0.98,1.0,5.65
llm,0.04,0.96,0.97,3.67
llm,0.06,0.94,0.94,3.08
llm,0.08,0.92,0.93,2.42
llm,0.1,0.9,0.93,2.35
llm,0.12,0.88,0.85,1.82
llm,0.14,0.86,0.85,1.78
llm,0.16,0.84,0.85,1.78
llm,0.18,0.82,0.81,1.53
llm,0.2,0.8,0.78,1.45
llm,0.22,0.78,0.78,1.43
llm,0.24,0.76,0.77,1.37
llm,0.26,0.74,0.76,1.26
llm,0.28,0.72,0.75,1.23
llm,0.3,0.7,0.75,1.23
llm,0.32,0.68,0.75,1.23
llm,0.34,0.66,0.75,1.23
llm,0.36,0.64,0.7,1.06
llm,0.38,0.62,0.7,1.06
llm,0.4,0.6,0.7,1.06
llm,0.42,0.58,0.65,0.91
llm,0.44,0.56,0.65,0.91
llm,0.46,0.54,0.65,0.91
llm,0.48,0.52,0.62,0.83
llm,0.5,0.5,0.61,0.8
llm,0.52,0.48,0.61,0.8
llm,0.54,0.46,0.61,0.8
llm,0.56,0.44,0.61,0.8
llm,0.58,0.42,0.56,0.71
llm,0.6,0.4,0.56,0.71
llm,0.62,0.38,0.53,0.68
llm,0.64,0.36,0.53,0.68
llm,0.66,0.34,0.53,0.68
llm,0.68,0.32,0.5,0.64
llm,0.7,0.3,0.5,0.64
llm,0.72,0.28,0.46,0.56
llm,0.74,0.26,0.4,0.48
llm,0.76,0.24,0.38,0.46
llm,0.78,0.22,0.35,0.43
llm,0.8,0.2,0.35,0.43
llm,0.82,0.18,0.35,0.43
llm,0.84,0.16,0.35,0.43
llm,0.86,0.14,0.21,0.25
llm,0.88,0.12,0.19,0.22
llm,0.9,0.1,0.16,0.18
llm,0.92,0.08,0.13,0.15
llm,0.94,0.06,0.1,0.11
llm,0.96,0.04,0.06,0.07
