coverage_target,group,value,n,singleton_hit_rate,empirical_coverage,coverage_gap,wilson_lo,wilson_hi,avg_set_size,median_set_size,singleton_rate,empty_set_rate,full_set_rate,uacc
0.80,overall,all,100,,0.83,0.03,0.7445,0.8911,4.42,4.0,0.0,0.0,0.12,0.0776
0.80,event_type,award,46,,0.7826,-0.0174,0.6443,0.8774,4.239,4.0,0.0,0.0,0.0217,
0.80,event_type,education,10,,0.9,0.1,0.5958,0.9821,4.7,5.0,0.0,0.0,0.2,
0.80,event_type,employment,27,,0.8519,0.0519,0.6752,0.9408,4.852,5,0.0,0.0,0.2963,
0.80,event_type,position,17,,0.8824,0.0824,0.6566,0.9671,4.059,4,0.0,0.0,0.0588,
0.80,has_same_person,False,4,,1.0,0.2,0.5101,1.0,4.25,4.5,0.0,0.0,0.0,
0.80,has_same_person,True,96,,0.8229,0.0229,0.7346,0.8864,4.427,4.0,0.0,0.0,0.125,
0.80,n_context,3,27,,0.8148,0.0148,0.633,0.9182,4.333,4,0.0,0.0,0.1481,
0.80,n_context,4,73,,0.8356,0.0356,0.7343,0.9034,4.452,5,0.0,0.0,0.1096,
0.80,year_bucket,1950-1989,38,,0.7632,-0.0368,0.6079,0.8701,4.342,4.0,0.0,0.0,0.1053,
0.80,year_bucket,1990-2009,33,,0.9091,0.1091,0.7643,0.9686,4.485,5,0.0,0.0,0.1212,
0.80,year_bucket,2010+,19,,0.8421,0.0421,0.6243,0.9448,4.632,5,0.0,0.0,0.1579,
0.80,year_bucket,<1950,10,,0.8,0.0,0.4902,0.9433,4.1,4.0,0.0,0.0,0.1,
0.80,popularity_bucket,Q1_low,28,,0.8929,0.0929,0.728,0.9629,4.786,5.0,0.0,0.0,0.25,
0.80,popularity_bucket,Q2,25,,0.8,0.0,0.6087,0.9114,4.32,4,0.0,0.0,0.08,
0.80,popularity_bucket,Q3,25,,0.84,0.04,0.6535,0.936,4.24,4,0.0,0.0,0.08,
0.80,popularity_bucket,Q4_high,22,,0.7727,-0.0273,0.5656,0.8988,4.273,4.0,0.0,0.0,0.0455,
0.80,set_size,2,3,,0.0,-0.8,0.0,0.5615,2.0,2,0.0,0.0,0.0,
0.80,set_size,3,13,,0.6923,-0.1077,0.4237,0.8732,3.0,3,0.0,0.0,0.0,
0.80,set_size,4,35,,0.7429,-0.0571,0.5793,0.8584,4.0,4,0.0,0.0,0.0,
0.80,set_size,5,37,,0.973,0.173,0.8618,0.9952,5.0,5,0.0,0.0,0.0,
0.80,set_size,6,12,,1.0,0.2,0.7575,1.0,6.0,6.0,0.0,0.0,1.0,
0.90,overall,all,100,,0.91,0.01,0.8377,0.9519,4.86,5.0,0.0,0.0,0.26,0.0706
0.90,event_type,award,46,,0.8913,-0.0087,0.7696,0.9527,4.63,5.0,0.0,0.0,0.087,
0.90,event_type,education,10,,0.9,0.0,0.5958,0.9821,5.2,5.5,0.0,0.0,0.5,
0.90,event_type,employment,27,,0.9259,0.0259,0.7663,0.9794,5.407,6,0.0,0.0,0.5926,
0.90,event_type,position,17,,0.9412,0.0412,0.7302,0.9895,4.412,4,0.0,0.0,0.0588,
0.90,has_same_person,False,4,,1.0,0.1,0.5101,1.0,4.75,5.0,0.0,0.0,0.25,
0.90,has_same_person,True,96,,0.9062,0.0062,0.8313,0.9499,4.865,5.0,0.0,0.0,0.2604,
0.90,n_context,3,27,,0.9259,0.0259,0.7663,0.9794,5.0,5,0.0,0.0,0.4074,
0.90,n_context,4,73,,0.9041,0.0041,0.815,0.9528,4.808,5,0.0,0.0,0.2055,
0.90,year_bucket,1950-1989,38,,0.9211,0.0211,0.792,0.9728,4.895,5.0,0.0,0.0,0.2632,
0.90,year_bucket,1990-2009,33,,0.9394,0.0394,0.8039,0.9832,4.788,5,0.0,0.0,0.2424,
0.90,year_bucket,2010+,19,,0.8947,-0.0053,0.6861,0.9706,4.947,5,0.0,0.0,0.2105,
0.90,year_bucket,<1950,10,,0.8,-0.1,0.4902,0.9433,4.8,4.5,0.0,0.0,0.4,
0.90,popularity_bucket,Q1_low,28,,0.9286,0.0286,0.7735,0.9802,5.429,6.0,0.0,0.0,0.6071,
0.90,popularity_bucket,Q2,25,,0.96,0.06,0.8046,0.9929,4.76,5,0.0,0.0,0.16,
0.90,popularity_bucket,Q3,25,,0.88,-0.02,0.7004,0.9583,4.68,5,0.0,0.0,0.12,
0.90,popularity_bucket,Q4_high,22,,0.8636,-0.0364,0.6666,0.9525,4.455,5.0,0.0,0.0,0.0909,
0.90,set_size,2,2,,0.0,-0.9,0.0,0.6576,2.0,2.0,0.0,0.0,0.0,
0.90,set_size,3,5,,0.8,-0.1,0.3755,0.9638,3.0,3,0.0,0.0,0.0,
0.90,set_size,4,24,,0.8333,-0.0667,0.6415,0.9332,4.0,4.0,0.0,0.0,0.0,
0.90,set_size,5,43,,0.9535,0.0535,0.8454,0.9872,5.0,5,0.0,0.0,0.0,
0.90,set_size,6,26,,1.0,0.1,0.8713,1.0,6.0,6.0,0.0,0.0,1.0,
0.95,overall,all,100,,0.97,0.02,0.9155,0.9897,5.53,6.0,0.0,0.0,0.61,0.062
0.95,event_type,award,46,,1.0,0.05,0.9229,1.0,5.457,6.0,0.0,0.0,0.5217,
0.95,event_type,education,10,,0.9,-0.05,0.5958,0.9821,5.6,6.0,0.0,0.0,0.7,
0.95,event_type,employment,27,,0.963,0.013,0.8172,0.9934,5.926,6,0.0,0.0,0.9259,
0.95,event_type,position,17,,0.9412,-0.0088,0.7302,0.9895,5.059,5,0.0,0.0,0.2941,
0.95,has_same_person,False,4,,1.0,0.05,0.5101,1.0,5.25,5.5,0.0,0.0,0.5,
0.95,has_same_person,True,96,,0.9688,0.0188,0.9121,0.9893,5.542,6.0,0.0,0.0,0.6146,
0.95,n_context,3,27,,0.9259,-0.0241,0.7663,0.9794,5.444,6,0.0,0.0,0.5556,
0.95,n_context,4,73,,0.9863,0.0363,0.9264,0.9976,5.562,6,0.0,0.0,0.6301,
0.95,year_bucket,1950-1989,38,,0.9737,0.0237,0.865,0.9953,5.579,6.0,0.0,0.0,0.6316,
0.95,year_bucket,1990-2009,33,,1.0,0.05,0.8957,1.0,5.455,6,0.0,0.0,0.5758,
0.95,year_bucket,2010+,19,,1.0,0.05,0.8318,1.0,5.632,6,0.0,0.0,0.6316,
0.95,year_bucket,<1950,10,,0.8,-0.15,0.4902,0.9433,5.4,6.0,0.0,0.0,0.6,
0.95,popularity_bucket,Q1_low,28,,0.9286,-0.0214,0.7735,0.9802,5.786,6.0,0.0,0.0,0.8214,
0.95,popularity_bucket,Q2,25,,1.0,0.05,0.8668,1.0,5.48,6,0.0,0.0,0.52,
0.95,popularity_bucket,Q3,25,,0.96,0.01,0.8046,0.9929,5.32,5,0.0,0.0,0.48,
0.95,popularity_bucket,Q4_high,22,,1.0,0.05,0.8513,1.0,5.5,6.0,0.0,0.0,0.5909,
0.95,set_size,4,8,,0.875,-0.075,0.5291,0.9776,4.0,4.0,0.0,0.0,0.0,
0.95,set_size,5,31,,0.9355,-0.0145,0.7928,0.9821,5.0,5,0.0,0.0,0.0,
0.95,set_size,6,61,,1.0,0.05,0.9408,1.0,6.0,6,0.0,0.0,1.0,
