coverage_target,group,value,n,singleton_hit_rate,empirical_coverage,coverage_gap,wilson_lo,wilson_hi,avg_set_size,median_set_size,singleton_rate,empty_set_rate,full_set_rate,uacc
0.80,overall,all,100,0.8529,0.81,0.01,0.7222,0.8749,1.75,2.0,0.34,0.02,0.0,0.7978
0.80,event_type,award,39,0.9167,0.8462,0.0462,0.7027,0.9275,1.897,2,0.3077,0.0,0.0,
0.80,event_type,education,11,0.6,0.7273,-0.0727,0.4343,0.9025,1.455,1,0.4545,0.0909,0.0,
0.80,event_type,employment,27,1.0,0.7407,-0.0593,0.5532,0.8683,1.852,2,0.1852,0.0,0.0,
0.80,event_type,position,23,0.8333,0.8696,0.0696,0.6787,0.9546,1.522,1,0.5217,0.0435,0.0,
0.80,has_same_person,False,1,1.0,1.0,0.2,0.2065,1.0,1.0,1,1.0,0.0,0.0,
0.80,has_same_person,True,99,0.8485,0.8081,0.0081,0.7196,0.8736,1.758,2,0.3333,0.0202,0.0,
0.80,n_context,3,26,0.875,0.8462,0.0462,0.6647,0.9385,1.885,2.0,0.3077,0.0,0.0,
0.80,n_context,4,74,0.8462,0.7973,-0.0027,0.6921,0.8731,1.703,2.0,0.3514,0.027,0.0,
0.80,year_bucket,1950-1989,24,1.0,0.7917,-0.0083,0.5953,0.9076,1.792,2.0,0.3333,0.0417,0.0,
0.80,year_bucket,1990-2009,33,0.6667,0.7576,-0.0424,0.5898,0.8717,1.909,2,0.2727,0.0,0.0,
0.80,year_bucket,2010+,25,1.0,0.84,0.04,0.6535,0.936,1.64,2,0.36,0.04,0.0,
0.80,year_bucket,<1950,18,0.75,0.8889,0.0889,0.672,0.969,1.556,2.0,0.4444,0.0,0.0,
0.80,popularity_bucket,Q1_low,26,0.75,0.7692,-0.0308,0.5795,0.8897,1.808,2.0,0.3077,0.0,0.0,
0.80,popularity_bucket,Q2,27,0.7778,0.8519,0.0519,0.6752,0.9408,1.741,2,0.3333,0.037,0.0,
0.80,popularity_bucket,Q3,24,1.0,0.7083,-0.0917,0.5083,0.8509,1.75,2.0,0.2917,0.0417,0.0,
0.80,popularity_bucket,Q4_high,23,0.9,0.913,0.113,0.732,0.9758,1.696,2,0.4348,0.0,0.0,
0.80,set_size,0,2,,0.0,-0.8,0.0,0.6576,0.0,0.0,0.0,1.0,0.0,
0.80,set_size,1,34,0.8529,0.8529,0.0529,0.6987,0.9355,1.0,1.0,1.0,0.0,0.0,
0.80,set_size,2,52,,0.7692,-0.0308,0.6387,0.8628,2.0,2.0,0.0,0.0,0.0,
0.80,set_size,3,11,,1.0,0.2,0.7412,1.0,3.0,3,0.0,0.0,0.0,
0.80,set_size,4,1,,1.0,0.2,0.2065,1.0,4.0,4,0.0,0.0,0.0,
0.90,overall,all,100,0.9444,0.93,0.03,0.8625,0.9657,2.54,3.0,0.18,0.0,0.02,0.5497
0.90,event_type,award,39,1.0,0.9487,0.0487,0.8311,0.9858,2.462,3,0.2051,0.0,0.0,
0.90,event_type,education,11,0.5,0.9091,0.0091,0.6226,0.9838,2.636,3,0.1818,0.0,0.0909,
0.90,event_type,employment,27,1.0,0.8889,-0.0111,0.7194,0.9615,2.889,3,0.0741,0.0,0.0,
0.90,event_type,position,23,1.0,0.9565,0.0565,0.7901,0.9923,2.217,2,0.2609,0.0,0.0435,
0.90,has_same_person,False,1,1.0,1.0,0.1,0.2065,1.0,1.0,1,1.0,0.0,0.0,
0.90,has_same_person,True,99,0.9412,0.9293,0.0293,0.8612,0.9653,2.556,3,0.1717,0.0,0.0202,
0.90,n_context,3,26,1.0,0.9231,0.0231,0.7586,0.9786,2.692,3.0,0.1154,0.0,0.0,
0.90,n_context,4,74,0.9333,0.9324,0.0324,0.8514,0.9708,2.486,2.0,0.2027,0.0,0.027,
0.90,year_bucket,1950-1989,24,1.0,1.0,0.1,0.862,1.0,2.625,3.0,0.2083,0.0,0.0417,
0.90,year_bucket,1990-2009,33,1.0,0.8788,-0.0212,0.7267,0.9518,2.697,3,0.0909,0.0,0.0,
0.90,year_bucket,2010+,25,1.0,0.92,0.02,0.7503,0.9778,2.48,2,0.24,0.0,0.04,
0.90,year_bucket,<1950,18,0.75,0.9444,0.0444,0.7424,0.9901,2.222,2.0,0.2222,0.0,0.0,
0.90,popularity_bucket,Q1_low,26,0.6667,0.8846,-0.0154,0.7102,0.96,2.615,3.0,0.1154,0.0,0.0,
0.90,popularity_bucket,Q2,27,1.0,0.963,0.063,0.8172,0.9934,2.741,2,0.1111,0.0,0.037,
0.90,popularity_bucket,Q3,24,1.0,0.9167,0.0167,0.7415,0.9768,2.667,3.0,0.1667,0.0,0.0417,
0.90,popularity_bucket,Q4_high,23,1.0,0.9565,0.0565,0.7901,0.9923,2.087,2,0.3478,0.0,0.0,
0.90,set_size,1,18,0.9444,0.9444,0.0444,0.7424,0.9901,1.0,1.0,1.0,0.0,0.0,
0.90,set_size,2,31,,0.8387,-0.0613,0.6737,0.9291,2.0,2,0.0,0.0,0.0,
0.90,set_size,3,37,,0.973,0.073,0.8618,0.9952,3.0,3,0.0,0.0,0.0,
0.90,set_size,4,9,,1.0,0.1,0.7008,1.0,4.0,4,0.0,0.0,0.0,
0.90,set_size,5,3,,1.0,0.1,0.4385,1.0,5.0,5,0.0,0.0,0.0,
0.90,set_size,6,2,,1.0,0.1,0.3424,1.0,6.0,6.0,0.0,0.0,1.0,
0.95,overall,all,100,0.9375,0.93,-0.02,0.8625,0.9657,2.71,3.0,0.16,0.0,0.02,0.5152
0.95,event_type,award,39,1.0,0.9487,-0.0013,0.8311,0.9858,2.667,3,0.1538,0.0,0.0,
0.95,event_type,education,11,0.5,0.9091,-0.0409,0.6226,0.9838,2.727,3,0.1818,0.0,0.0909,
0.95,event_type,employment,27,1.0,0.8889,-0.0611,0.7194,0.9615,3.037,3,0.0741,0.0,0.0,
0.95,event_type,position,23,1.0,0.9565,0.0065,0.7901,0.9923,2.391,2,0.2609,0.0,0.0435,
0.95,has_same_person,False,1,1.0,1.0,0.05,0.2065,1.0,1.0,1,1.0,0.0,0.0,
0.95,has_same_person,True,99,0.9333,0.9293,-0.0207,0.8612,0.9653,2.727,3,0.1515,0.0,0.0202,
0.95,n_context,3,26,1.0,0.9231,-0.0269,0.7586,0.9786,2.846,3.0,0.1154,0.0,0.0,
0.95,n_context,4,74,0.9231,0.9324,-0.0176,0.8514,0.9708,2.662,3.0,0.1757,0.0,0.027,
0.95,year_bucket,1950-1989,24,1.0,1.0,0.05,0.862,1.0,2.625,3.0,0.2083,0.0,0.0417,
0.95,year_bucket,1990-2009,33,1.0,0.8788,-0.0712,0.7267,0.9518,2.879,3,0.0909,0.0,0.0,
0.95,year_bucket,2010+,25,1.0,0.92,-0.03,0.7503,0.9778,2.72,3,0.2,0.0,0.04,
0.95,year_bucket,<1950,18,0.6667,0.9444,-0.0056,0.7424,0.9901,2.5,2.0,0.1667,0.0,0.0,
0.95,popularity_bucket,Q1_low,26,0.6667,0.8846,-0.0654,0.7102,0.96,2.692,3.0,0.1154,0.0,0.0,
0.95,popularity_bucket,Q2,27,1.0,0.963,0.013,0.8172,0.9934,2.963,3,0.1111,0.0,0.037,
0.95,popularity_bucket,Q3,24,1.0,0.9167,-0.0333,0.7415,0.9768,2.792,3.0,0.125,0.0,0.0417,
0.95,popularity_bucket,Q4_high,23,1.0,0.9565,0.0065,0.7901,0.9923,2.348,3,0.3043,0.0,0.0,
0.95,set_size,1,16,0.9375,0.9375,-0.0125,0.7167,0.9889,1.0,1.0,1.0,0.0,0.0,
0.95,set_size,2,26,,0.8077,-0.1423,0.6212,0.9149,2.0,2.0,0.0,0.0,0.0,
0.95,set_size,3,37,,0.973,0.023,0.8618,0.9952,3.0,3,0.0,0.0,0.0,
0.95,set_size,4,15,,1.0,0.05,0.7961,1.0,4.0,4,0.0,0.0,0.0,
0.95,set_size,5,4,,1.0,0.05,0.5101,1.0,5.0,5.0,0.0,0.0,0.0,
0.95,set_size,6,2,,1.0,0.05,0.3424,1.0,6.0,6.0,0.0,0.0,1.0,
